assessment_name	assessment_number_questions	assessment_version	question_label	question_text	question_behavioral_trait	question_behavioral_trait_id	question_behavioral_trait_synset	question_direction	question_id	question_datatype	question_options
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD22	22. Careless/Sloppy	careless: marked by lack of attention or consideration or forethought or thoroughness; not careful (a)	e0411d48-e1dc-47d2-b704-334fa357ed5f	careless.a.01	positive	77	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD2	2. Difficulty Sustaining Attention on Tasks/Play Activities	attentive: taking heed; giving close and thoughtful attention (a)	ed1d04b9-6067-42c2-8896-9ec402406b48	heedful.a.01	negative	15	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD3	3. Doesn't Listen	listening: listen and pay attention (v)	51da6a86-ea91-4649-898f-30239770189c	listen.v.02	negative	16	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD4	4. Difficulty Following Instructions	listening: listen and pay attention (v)	51da6a86-ea91-4649-898f-30239770189c	listen.v.02	negative	17	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD5	5. Difficulty Organizing Tasks	organized: methodical and efficient in arrangement or function (a)	868f66ca-9938-4eaf-9261-b4ec19842e1e	organized.a.02	negative	18	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD6	6. Dislikes/Avoids Tasks Requiring Attention	attentive: taking heed; giving close and thoughtful attention (a)	ed1d04b9-6067-42c2-8896-9ec402406b48	heedful.a.01	negative	19	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD7	7. Loses Things	careless: marked by lack of attention or consideration or forethought or thoroughness; not careful (a)	e0411d48-e1dc-47d2-b704-334fa357ed5f	careless.a.01	positive	20	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD8	8. Easily Distracted	distracted: having the attention diverted especially because of anxiety (s)	88217c6e-678f-4243-ad6a-45c6e27a50ba	distracted.s.01	positive	21	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD9	9. Forgetful in Daily Activities	forgetful: not mindful or attentive (a)	9ff8369d-627d-4cf0-bbb7-051ff344a45a	unmindful.a.01	positive	22	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD10	10. Fidget	restless: ceaselessly in motion (s)	ad39e0b3-0a3f-42a6-87d0-156972e83010	restless.s.02	positive	23	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD11	11. Difficulty Remaining Seated	restless: ceaselessly in motion (s)	ad39e0b3-0a3f-42a6-87d0-156972e83010	restless.s.02	positive	24	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD12	12. Runs or Climbs Excessively	active: full of activity or engaged in continuous activity (a)	c5423c6b-2bad-4c28-95d4-816214fc66be	active.a.07	positive	25	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD14	14. On the Go/Acts Like Driven by Motor	energetic: possessing or exerting or displaying energy (a)	ab8ff94d-3462-4c3e-8a07-ec1b4e948317	energetic.a.01	positive	27	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD15	15. Talks Excessively	talkative: full of trivial conversation (s)	8bd37ed8-3b0e-4f06-9501-90949922d28e	chatty.s.01	positive	28	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD16	16. Blurts Out Answers	intrusive: tending to intrude (especially upon privacy) (a)	cfed290b-343f-4a22-901f-664e94f425e7	intrusive.a.01	positive	29	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD17	17. Difficulty Waiting Turn	impatient: restless or short-tempered under delay or opposition (a)	f57617b1-c6e8-4b60-8802-df70cead1398	impatient.a.01	positive	30	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD18	18. Interrupts or Intrudes	intrusive: tending to intrude (especially upon privacy) (a)	cfed290b-343f-4a22-901f-664e94f425e7	intrusive.a.01	positive	31	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD23	23. Careless/Sloppy	careless: marked by lack of attention or consideration or forethought or thoroughness; not careful (a)	e0411d48-e1dc-47d2-b704-334fa357ed5f	careless.a.01	positive	37	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD24	24. Difficulty sustaining attention	distracted: having the attention diverted especially because of anxiety (s)	88217c6e-678f-4243-ad6a-45c6e27a50ba	distracted.s.01	positive	38	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD25	25. Doesn't listen	listening: pay close attention to; give heed to (v)	9161fac3-b177-4937-b99b-aad97d5bd26c	heed.v.01	negative	39	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD27	27. Difficulty organizing tasks/activities	organized: methodical and efficient in arrangement or function (a)	868f66ca-9938-4eaf-9261-b4ec19842e1e	organized.a.02	negative	41	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD28	28. Avoidance of tasks with sustained mental effort	lazy: disinclined to work or exertion (s)	a2e18a9f-d76c-4b44-b4ae-d73bd150666e	faineant.s.01	positive	42	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD29	29. Loses things	careless: marked by lack of attention or consideration or forethought or thoroughness; not careful (a)	e0411d48-e1dc-47d2-b704-334fa357ed5f	careless.a.01	positive	43	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD30	30. Easily distracted	distracted: having the attention diverted especially because of anxiety (s)	88217c6e-678f-4243-ad6a-45c6e27a50ba	distracted.s.01	positive	44	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD31	31. Forgetful in daily activities	forgetful: not mindful or attentive (a)	9ff8369d-627d-4cf0-bbb7-051ff344a45a	unmindful.a.01	positive	45	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD32	32. Fidgets/Squirms	restless: ceaselessly in motion (s)	ad39e0b3-0a3f-42a6-87d0-156972e83010	restless.s.02	positive	46	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD33	33. Difficulty remaining seated	restless: ceaselessly in motion (s)	ad39e0b3-0a3f-42a6-87d0-156972e83010	restless.s.02	positive	47	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD36	36. On the go/Driven by a motor	overactive: more active than normal (s)	733534cf-830a-4590-a9a3-10425c1c4002	hyperactive.s.01	positive	50	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD34	34. Runs/Climbs excessively/Inappropriately	overactive: more active than normal (s)	733534cf-830a-4590-a9a3-10425c1c4002	hyperactive.s.01	positive	48	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD37	37. Talks excessively	talkative: unwisely talking too much (s)	370e613f-ba85-4b76-b9cc-3625a1ee349e	bigmouthed.s.01	positive	51	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD38	38. Blurts out answers	intrusive: tending to intrude (especially upon privacy) (a)	cfed290b-343f-4a22-901f-664e94f425e7	intrusive.a.01	positive	52	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD39	39. Difficulty waiting turn	impatient: restless or short-tempered under delay or opposition (a)	f57617b1-c6e8-4b60-8802-df70cead1398	impatient.a.01	positive	53	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	CHILDADHD40	40. Interrupts or Intrudes	intrusive: tending to intrude (especially upon privacy) (a)	cfed290b-343f-4a22-901f-664e94f425e7	intrusive.a.01	positive	54	INT	1  YES  2  NO
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD1	1. Makes a Lot of Careless Mistakes	careless: marked by lack of attention or consideration or forethought or thoroughness; not careful (a)	e0411d48-e1dc-47d2-b704-334fa357ed5f	careless.a.01	positive	56	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD2	2. Difficulty Sustaining Attention on Tasks/Play Activities	attentive: taking heed; giving close and thoughtful attention (a)	ed1d04b9-6067-42c2-8896-9ec402406b48	heedful.a.01	negative	57	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD3	3. Doesn't Listen	listening: pay close attention to; give heed to (v)	9161fac3-b177-4937-b99b-aad97d5bd26c	heed.v.01	negative	58	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD4	4. Difficulty Following Instructions	listening: pay close attention to; give heed to (v)	9161fac3-b177-4937-b99b-aad97d5bd26c	heed.v.01	negative	59	INT	1|2|3|4|6|8|9
Adult ADHD Clinical Diagnostic Scale	72	1.2	ADULTADHD5	5. Difficulty Organizing Tasks	organized: methodical and efficient in arrangement or function (a)	868f66ca-9938-4eaf-9261-b4ec19842e1e	organized.a.02	negative	60	INT	1|2|3|4|6|8|9
